title,info_link,pages_link
Lesson 1: Introduction to Web Development and Python,https://courses.edovo.com/content/edit_lesson/35252,https://courses.edovo.com/lesson/35252/edit
Lesson 2: Variables and Datatypes,https://courses.edovo.com/content/edit_lesson/35251,https://courses.edovo.com/lesson/35251/edit
Lesson 3: Strings and Lists,https://courses.edovo.com/content/edit_lesson/35253,https://courses.edovo.com/lesson/35253/edit
"Lesson 4: Lists, Tuples, Dictionaries",https://courses.edovo.com/content/edit_lesson/35254,https://courses.edovo.com/lesson/35254/edit
Lesson 5: Conditionals,https://courses.edovo.com/content/edit_lesson/35255,https://courses.edovo.com/lesson/35255/edit
Lesson 6: Loops,https://courses.edovo.com/content/edit_lesson/35256,https://courses.edovo.com/lesson/35256/edit
Lesson 7: Functions,https://courses.edovo.com/content/edit_lesson/35257,https://courses.edovo.com/lesson/35257/edit
Lesson 8: HTML,https://courses.edovo.com/content/edit_lesson/35258,https://courses.edovo.com/lesson/35258/edit
Lesson 9: CSS,https://courses.edovo.com/content/edit_lesson/35259,https://courses.edovo.com/lesson/35259/edit
Lesson 10: Advanced HTML and CSS,https://courses.edovo.com/content/edit_lesson/35260,https://courses.edovo.com/lesson/35260/edit
Lesson 11: Internet 101,https://courses.edovo.com/content/edit_lesson/35242,https://courses.edovo.com/lesson/35242/edit
Lesson 12: Flask,https://courses.edovo.com/content/edit_lesson/35243,https://courses.edovo.com/lesson/35243/edit
Lesson 13: Advanced Flask,https://courses.edovo.com/content/edit_lesson/35244,https://courses.edovo.com/lesson/35244/edit
Lesson 14: Flask Forms,https://courses.edovo.com/content/edit_lesson/35245,https://courses.edovo.com/lesson/35245/edit
Lesson 15: Databases pt. 1,https://courses.edovo.com/content/edit_lesson/35246,https://courses.edovo.com/lesson/35246/edit
Lesson 16: Databases pt.2,https://courses.edovo.com/content/edit_lesson/35247,https://courses.edovo.com/lesson/35247/edit
Lesson 17: APIs,https://courses.edovo.com/content/edit_lesson/35248,https://courses.edovo.com/lesson/35248/edit
Lesson 18: User Testing,https://courses.edovo.com/content/edit_lesson/35249,https://courses.edovo.com/lesson/35249/edit
Lesson 19: Marketing/Branding,https://courses.edovo.com/content/edit_lesson/35250,https://courses.edovo.com/lesson/35250/edit
